"tag","freq"
"<U+E50B>",2
"<U+E50D>",2
"<U+E50F>",2
"<U+E518>",2
"<U+E525>",2
"<U+E529>",2
"<U+E530>",2
"<U+E531>",2
"<U+F603>",2
"<U+018E>",1
"<U+0294>",1
"<U+0298>",1
"<U+02DD>",1
"<U+0310>",1
"<U+0313>",1
"<U+0322>",1
"<U+0329>",1
"<U+0340>",1
"<U+034F>",1
"<U+035D>",1
"<U+035E>",1
"<U+0388>",1
"<U+0396>",1
"<U+039B>",1
"<U+039E>",1
"<U+03A7>",1
"<U+03B8>",1
"<U+03C7>",1
"<U+03CE>",1
"<U+0410>",1
"<U+0413>",1
"<U+0414>",1
"<U+0415>",1
"<U+0418>",1
"<U+0419>",1
"<U+041A>",1
"<U+041D>",1
"<U+041F>",1
"<U+0422>",1
"<U+0427>",1
"<U+0428>",1
"<U+042F>",1
"<U+0433>",1
"<U+0434>",1
"<U+043C>",1
"<U+0448>",1
"<U+044B>",1
"<U+044C>",1
"<U+044D>",1
"<U+044E>",1
"<U+0451>",1
"<U+0455>",1
"<U+045A>",1
"<U+045C>",1
"<U+0493>",1
"<U+05B4>",1
"<U+05B6>",1
"<U+05B8>",1
"<U+05BC>",1
"<U+05C1>",1
"<U+05D1>",1
"<U+05D6>",1
"<U+05DD>",1
"<U+05DE>",1
"<U+05E0>",1
"<U+05E2>",1
"<U+05E8>",1
"<U+05E9>",1
"<U+05F0>",1
"<U+0621>",1
"<U+0623>",1
"<U+0629>",1
"<U+062D>",1
"<U+062E>",1
"<U+0643>",1
"<U+0647>",1
"<U+0650>",1
"<U+0669>",1
"<U+06F6>",1
"<U+0903>",1
"<U+0916>",1
"<U+0926>",1
"<U+0941>",1
"<U+1D35>",1
"<U+1D38>",1
"<U+1D3F>",1
"<U+1EDF>",1
"<U+1F10>",1
"<U+1F28>",1
"<U+1F50>",1
"<U+1F76>",1
"<U+1F7D>",1
"<U+1FE5>",1
"<U+1FE6>",1
"<U+2012>",1
"<U+20AE>",1
"<U+20B5>",1
"<U+2120>",1
"<U+2196>",1
"<U+2198>",1
"<U+21A8>",1
"<U+21A9>",1
"<U+21AC>",1
"<U+21AD>",1
"<U+21BA>",1
"<U+2203>",1
"<U+2211>",1
"<U+2283>",1
"<U+2284>",1
"<U+22A5>",1
"<U+24B6>",1
"<U+24B8>",1
"<U+24BE>",1
"<U+24C7>",1
"<U+24CB>",1
"<U+24D8>",1
"<U+2501>",1
"<U+2533>",1
"<U+2581>",1
"<U+2582>",1
"<U+2583>",1
"<U+2585>",1
"<U+25A1>",1
"<U+25BF>",1
"<U+25CE>",1
"<U+25E6>",1
"<U+2607>",1
"<U+260B>",1
"<U+2623>",1
"<U+2628>",1
"<U+262A>",1
"<U+2641>",1
"<U+264C>",1
"<U+264D>",1
"<U+2654>",1
"<U+265A>",1
"<U+265C>",1
"<U+266D>",1
"<U+26C5>",1
"<U+2706>",1
"<U+2709>",1
"<U+2716>",1
"<U+271D>",1
"<U+272A>",1
"<U+2734>",1
"<U+273D>",1
"<U+2740>",1
"<U+2744>",1
"<U+2794>",1
"<U+279C>",1
"<U+27A5>",1
"<U+27AA>",1
"<U+27B1>",1
"<U+27B8>",1
"<U+27BD>",1
"<U+2953>",1
"<U+2962>",1
"<U+2964>",1
"<U+300E>",1
"<U+300F>",1
"<U+3017>",1
"<U+301C>",1
"<U+302A>",1
"<U+302B>",1
"<U+302C>",1
"<U+302D>",1
"<U+3041>",1
"<U+3048>",1
"<U+304E>",1
"<U+3050>",1
"<U+3054>",1
"<U+3058>",1
"<U+306C>",1
"<U+3072>",1
"<U+3079>",1
"<U+307B>",1
"<U+3080>",1
"<U+3083>",1
"<U+3084>",1
"<U+309D>",1
"<U+30B5>",1
"<U+30B6>",1
"<U+30BA>",1
"<U+30BD>",1
"<U+30C1>",1
"<U+30C5>",1
"<U+30CA>",1
"<U+30CF>",1
"<U+30D5>",1
"<U+30E0>",1
"<U+30E4>",1
"<U+30E5>",1
"<U+30E8>",1
"<U+30E9>",1
"<U+30EA>",1
"<U+30EE>",1
"<U+32E1>",1
"<U+4E08>",1
"<U+4E09>",1
"<U+4E0B>",1
"<U+4E11>",1
"<U+4E16>",1
"<U+4E1A>",1
"<U+4E1C>",1
"<U+4E24>",1
"<U+4E50>",1
"<U+4E70>",1
"<U+4E8B>",1
"<U+4E92>",1
"<U+4EAC>",1
"<U+4ECA>",1
"<U+4EE3>",1
"<U+4EF6>",1
"<U+4EFB>",1
"<U+4F46>",1
"<U+4F55>",1
"<U+4FE1>",1
"<U+501F>",1
"<U+50CD>",1
"<U+5143>",1
"<U+5145>",1
"<U+515A>",1
"<U+516C>",1
"<U+5199>",1
"<U+5207>",1
"<U+5224>",1
"<U+5229>",1
"<U+5230>",1
"<U+523B>",1
"<U+524D>",1
"<U+52A9>",1
"<U+52B1>",1
"<U+52D5>",1
"<U+5341>",1
"<U+5343>",1
"<U+534A>",1
"<U+5356>",1
"<U+536B>",1
"<U+5370>",1
"<U+53B3>",1
"<U+53CB>",1
"<U+53D1>",1
"<U+53EB>",1
"<U+53F8>",1
"<U+5408>",1
"<U+5417>",1
"<U+544A>",1
"<U+547C>",1
"<U+547D>",1
"<U+5546>",1
"<U+5584>",1
"<U+559C>",1
"<U+561B>",1
"<U+56E7>",1
"<U+56FA>",1
"<U+570B>",1
"<U+571F>",1
"<U+5733>",1
"<U+592A>",1
"<U+5947>",1
"<U+5973>",1
"<U+5976>",1
"<U+5982>",1
"<U+5AC1>",1
"<U+5B66>",1
"<U+5B78>",1
"<U+5B88>",1
"<U+5B89>",1
"<U+5B8C>",1
"<U+5B9A>",1
"<U+5B9F>",1
"<U+5BB9>",1
"<U+5BCC>",1
"<U+5BD2>",1
"<U+5BF9>",1
"<U+5BFE>",1
